"Affiliations","Record Count","% of 354"
"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS",1,0.282
"UNIVERSIDAD PABLO DE OLAVIDE",1,0.282
"UNIVERSIDAD PERUANA CAYETANO HEREDIA",1,0.282
"UNIVERSIDAD POLITECNICA DE MADRID",1,0.282
"UNIVERSIDADE DE AVEIRO",3,0.847
"UNIVERSIDADE DE COIMBRA",1,0.282
"UNIVERSIDADE DE LISBOA",4,1.13
"UNIVERSIDADE DE SANTIAGO DE COMPOSTELA",3,0.847
"UNIVERSIDADE DE SAO PAULO",2,0.565
"UNIVERSIDADE DE VIGO",1,0.282
"UNIVERSIDADE DO ALGARVE",6,1.695
"UNIVERSIDADE DO MINHO",1,0.282
"UNIVERSIDADE DO PORTO",3,0.847
"UNIVERSIDADE DO VALE DO ITAJAI",2,0.565
"UNIVERSIDADE DOS ACORES",2,0.565
"UNIVERSIDADE ESTADUAL DO MARANHAO",1,0.282
"UNIVERSIDADE ESTADUAL PAULISTA",2,0.565
"UNIVERSIDADE FEDERAL DE AMAZONAS",1,0.282
"UNIVERSIDADE FEDERAL DE JUIZ DE FORA",1,0.282
"UNIVERSIDADE FEDERAL DO PARANA",1,0.282
"UNIVERSITAS MULAWARMAN",1,0.282
"UNIVERSITAS SRIWIJAYA",2,0.565
"UNIVERSITAT DE GIRONA",1,0.282
"UNIVERSITAT DE LES ILLES BALEARS",2,0.565
"UNIVERSITE DE BRETAGNE OCCIDENTALE",9,2.542
"UNIVERSITE DE CAEN NORMANDIE",4,1.13
"UNIVERSITE DE CARTHAGE",2,0.565
"UNIVERSITE DE LILLE",3,0.847
"UNIVERSITE DE LILLE ISITE",1,0.282
"UNIVERSITE DE LORRAINE",1,0.282
"UNIVERSITE DE MONTPELLIER",19,5.367
"UNIVERSITE DE MONTREAL",1,0.282
"UNIVERSITE DE RENNES",2,0.565
"UNIVERSITE DE STRASBOURG",1,0.282
"UNIVERSITE DE TOULON",1,0.282
"UNIVERSITE DE TOULOUSE",1,0.282
"UNIVERSITE DU LITTORAL COTE D OPALE",4,1.13
"UNIVERSITE PAUL VALERY",2,0.565
"UNIVERSITE PSL",3,0.847
"UNIVERSITE TOULOUSE III PAUL SABATIER",1,0.282
"UNIVERSITES DE STRASBOURG ETABLISSEMENTS ASSOCIES",1,0.282
"UNIVERSITETET I STAVANGER",1,0.282
"UNIVERSITI MALAYA",1,0.282
"UNIVERSITI MALAYSIA SABAH",2,0.565
"UNIVERSITI PUTRA MALAYSIA",1,0.282
"UNIVERSITI SAINS MALAYSIA",1,0.282
"UNIVERSITY COLLEGE CORK",11,3.107
"UNIVERSITY COLLEGE LONDON",2,0.565
"UNIVERSITY MASSACHUSETTS DARTMOUTH",2,0.565
"UNIVERSITY OF ABERDEEN",3,0.847
"UNIVERSITY OF AGDER",1,0.282
"UNIVERSITY OF ALASKA FAIRBANKS",1,0.282
"UNIVERSITY OF ALASKA SYSTEM",1,0.282
"UNIVERSITY OF ARIZONA",1,0.282
"UNIVERSITY OF BARCELONA",2,0.565
"UNIVERSITY OF BAYREUTH",1,0.282
"UNIVERSITY OF BERGEN",1,0.282
"UNIVERSITY OF BREMEN",2,0.565
"UNIVERSITY OF BRITISH COLUMBIA",45,12.712
"UNIVERSITY OF CALCUTTA",2,0.565
"UNIVERSITY OF CALIFORNIA LOS ANGELES",2,0.565
"UNIVERSITY OF CALIFORNIA MERCED",1,0.282
"UNIVERSITY OF CALIFORNIA SAN DIEGO",2,0.565
"UNIVERSITY OF CALIFORNIA SANTA BARBARA",3,0.847
"UNIVERSITY OF CALIFORNIA SANTA CRUZ",3,0.847
"UNIVERSITY OF CALIFORNIA SYSTEM",9,2.542
"UNIVERSITY OF CAMBRIDGE",1,0.282
"UNIVERSITY OF CAPE TOWN",3,0.847
"UNIVERSITY OF CHINESE ACADEMY OF SCIENCES CAS",4,1.13
"UNIVERSITY OF COLORADO BOULDER",1,0.282
"UNIVERSITY OF COLORADO SYSTEM",1,0.282
"UNIVERSITY OF DELAWARE",1,0.282
"UNIVERSITY OF DUBROVNIK",1,0.282
"UNIVERSITY OF EAST ANGLIA",5,1.412
"UNIVERSITY OF ESSEX",2,0.565
"UNIVERSITY OF EXETER",4,1.13
"UNIVERSITY OF FLORIDA",3,0.847
"UNIVERSITY OF GDANSK",2,0.565
"UNIVERSITY OF GEORGIA",1,0.282
"UNIVERSITY OF GOTHENBURG",1,0.282
"UNIVERSITY OF GUAM",1,0.282
"UNIVERSITY OF HAIFA",2,0.565
"UNIVERSITY OF HAMBURG",3,0.847
"UNIVERSITY OF HAWAII MANOA",1,0.282
"UNIVERSITY OF HAWAII SYSTEM",2,0.565
"UNIVERSITY OF HELSINKI",1,0.282
"UNIVERSITY OF HORMOZGAN",1,0.282
"UNIVERSITY OF HULL",3,0.847
"UNIVERSITY OF ICELAND",1,0.282
"UNIVERSITY OF IOANNINA",1,0.282
"UNIVERSITY OF KAISERSLAUTERN",1,0.282
"UNIVERSITY OF KERALA",1,0.282
"UNIVERSITY OF KIEL",1,0.282
"UNIVERSITY OF KWAZULU NATAL",2,0.565
"UNIVERSITY OF L AQUILA",1,0.282
"UNIVERSITY OF LEEDS",1,0.282
"UNIVERSITY OF LIVERPOOL",1,0.282
"UNIVERSITY OF LODZ",2,0.565
"UNIVERSITY OF LONDON",4,1.13
"UNIVERSITY OF LOUISIANA LAFAYETTE",2,0.565
"UNIVERSITY OF MAINE ORONO",2,0.565
"UNIVERSITY OF MAINE SYSTEM",2,0.565
"UNIVERSITY OF MALAYSIA SARAWAK",1,0.282
"UNIVERSITY OF MALTA",1,0.282
"UNIVERSITY OF MARYLAND CENTER FOR ENVIRONMENTAL SCIENCE",4,1.13
"UNIVERSITY OF MASSACHUSETTS SYSTEM",2,0.565
"UNIVERSITY OF MELBOURNE",2,0.565
"UNIVERSITY OF MESSINA",4,1.13
"UNIVERSITY OF MIAMI",1,0.282
"UNIVERSITY OF MICHIGAN",1,0.282
"UNIVERSITY OF MICHIGAN SYSTEM",1,0.282
"UNIVERSITY OF MILAN",1,0.282
"UNIVERSITY OF MINNESOTA SYSTEM",1,0.282
"UNIVERSITY OF MINNESOTA TWIN CITIES",1,0.282
"UNIVERSITY OF NAMUR",1,0.282
"UNIVERSITY OF NEW HAMPSHIRE",1,0.282
"UNIVERSITY OF NEW SOUTH WALES SYDNEY",1,0.282
"UNIVERSITY OF NORTH CAROLINA",3,0.847
"UNIVERSITY OF NORTH CAROLINA WILMINGTON",3,0.847
"UNIVERSITY OF NOTRE DAME",1,0.282
"UNIVERSITY OF OREGON",1,0.282
"UNIVERSITY OF OVIEDO",1,0.282
"UNIVERSITY OF OXFORD",1,0.282
"UNIVERSITY OF PALERMO",2,0.565
"UNIVERSITY OF PATRAS",1,0.282
"UNIVERSITY OF PAVIA",1,0.282
"UNIVERSITY OF PENNSYLVANIA",1,0.282
"UNIVERSITY OF PLYMOUTH",3,0.847
"UNIVERSITY OF QUEBEC",1,0.282
"UNIVERSITY OF QUEBEC MONTREAL",1,0.282
"UNIVERSITY OF QUEENSLAND",8,2.26
"UNIVERSITY OF READING",1,0.282
"UNIVERSITY OF RHODE ISLAND",2,0.565
"UNIVERSITY OF ROME TOR VERGATA",1,0.282
"UNIVERSITY OF SALENTO",4,1.13
"UNIVERSITY OF SEVILLA",1,0.282
"UNIVERSITY OF SOUTH ALABAMA",4,1.13
"UNIVERSITY OF SOUTH CAROLINA COLUMBIA",1,0.282
"UNIVERSITY OF SOUTH CAROLINA SYSTEM",1,0.282
"UNIVERSITY OF SOUTH FLORIDA",4,1.13
"UNIVERSITY OF SOUTHAMPTON",8,2.26
"UNIVERSITY OF SOUTHERN DENMARK",3,0.847
"UNIVERSITY OF SOUTHERN MISSISSIPPI",13,3.672
"UNIVERSITY OF SPLIT",1,0.282
"UNIVERSITY OF ST ANDREWS",6,1.695
"UNIVERSITY OF ST LA SALLE",1,0.282
"UNIVERSITY OF SUNDERLAND",1,0.282
"UNIVERSITY OF SUSSEX",1,0.282
"UNIVERSITY OF SYDNEY",1,0.282
"UNIVERSITY OF TASMANIA",8,2.26
"UNIVERSITY OF TEXAS AUSTIN",1,0.282
"UNIVERSITY OF TEXAS SYSTEM",1,0.282
"UNIVERSITY OF THE RYUKYUS",1,0.282
"UNIVERSITY OF THE WESTERN CAPE",5,1.412
"UNIVERSITY OF TOKYO",1,0.282
"UNIVERSITY OF TRIESTE",1,0.282
"UNIVERSITY OF WASHINGTON",9,2.542
"UNIVERSITY OF WASHINGTON BOTHELL",1,0.282
"UNIVERSITY OF WASHINGTON SEATTLE",8,2.26
"UNIVERSITY OF WESTERN AUSTRALIA",6,1.695
"UNIVERSITY OF YORK UK",2,0.565
"UNIVERSITY OF ZURICH",1,0.282
"UNIVERSITY SYSTEM OF GEORGIA",2,0.565
"UNIVERSITY SYSTEM OF MARYLAND",4,1.13
"UNIVERSITY SYSTEM OF NEW HAMPSHIRE",1,0.282
"UNIVERSITY SYSTEM OF OHIO",1,0.282
"VENEZUELAN INSTITUTE SCIENCE RESEARCH",1,0.282
"VIRGINIA INSTITUTE OF MARINE SCIENCE",2,0.565
"WAGENINGEN UNIVERSITY RESEARCH",2,0.565
"WALAILAK UNIVERSITY",1,0.282
"WASEDA UNIVERSITY",1,0.282
"WESTERN GREECE UNIVERSITY OF APPLIED SCIENCES TEI OF WESTERN GREECE",2,0.565
"WESTERN WASHINGTON UNIVERSITY",11,3.107
"WILDLIFE CONSERVATION SOCIETY",2,0.565
"WILDLIFE RES PARTNERSHIPS",1,0.282
"WILLIAM MARY",2,0.565
"WOODS HOLE OCEANOGRAPHIC INSTITUTION",6,1.695
"WORLD CONSERVAT MONITORING CTR",1,0.282
"WORLD WILDLIFE FUND",2,0.565
"WWF BRASIL",1,0.282
"XIM UNIV",1,0.282
"YALE UNIVERSITY",7,1.977
"YANTAI INSTITUTE OF COASTAL ZONE RESEARCH CAS",1,0.282
"YAYASAN KONSERVASI RASI",1,0.282
"YELLOW SEA FISHERIES RESEARCH INSTITUTE CAFS",1,0.282
"YOUNG SCIENTIST ACAD",1,0.282
"ZOOLOGICAL SOCIETY OF LONDON",2,0.565
"ZOOLOGICAL SURVEY OF INDIA",3,0.847
"1 record(s) (0.282%) do not contain data in the field being analyzed",NA,NA
