"Funding Agencies","Record Count","% of 354"
"NEW ZEALAND ANTARCTIC RESEARCH INSTITUTE NZARI",1,0.282
"NEWFOUNDLAND AND LABRADOR DEPARTMENT OF FISHERIES AND AQUACULTURE RESEARCH AND DEVELOPMENT CORPORATION RDC OF NEWFOUNDLAND AND LABRADOR OCEAN INDUSTRIES STUDENT RESEARCH AWARD",1,0.282
"NEWTON FUND",1,0.282
"NEXTGENERATIONEU PRTR",1,0.282
"NF UBC NEREUS PROGRAM",1,0.282
"NIPPON FOUNDATION",1,0.282
"NIPPON FOUNDATION NF NEREUS PROGRAM",1,0.282
"NIPPON FOUNDATION OCEAN NEXUS CENTER",1,0.282
"NIPPON FOUNDATION UBC",1,0.282
"NIPPON FOUNDATION UBC NEREUS PREDICTING THE FUTURE OCEAN PROGRAM",1,0.282
"NIPPON FOUNDATION UBC NEREUS PROGRAM",2,0.565
"NIWA",1,0.282
"NIWA S MARINE BIODIVERSITY AND BIOSECURITY OBI PROGRAM",1,0.282
"NOAA AND NSF",1,0.282
"NOAA FISHERIES AND THE ENVIRONMENT FATE PROGRAM",1,0.282
"NOAA S FISHERIES AND THE ENVIRONMENT FATE PROGRAM",1,0.282
"NOAA S NORTHWEST AND ALASKA FISHERIES SCIENCE CENTERS",1,0.282
"NOAA SUSTAINABLE FISHERIES",1,0.282
"NOEL AND KATE MONKMAN POSTGRADUATE AWARD IN MARINE BIOLOGY",1,0.282
"NON GOVERNMENTAL ORGANIZATION MARVIVA",1,0.282
"NORMANDY REGION",1,0.282
"NORTH PACIFIC RESEARCH BOARD",4,1.13
"NORTHWEST FISHERIES SCIENCE CENTER",1,0.282
"NORTHWEST FISHERIES SCIENCE CENTER NOAA",1,0.282
"NORWEGIAN AGENCY FOR DEVELOPMENT COOPERATION NORAD",1,0.282
"NORWEGIAN TAXONOMY INITIATIVE",1,0.282
"NSF COUPLED NATURAL HUMAN SYSTEMS GRANT",1,0.282
"NSF DIRECTORATE FOR BIOLOGICAL SCIENCES BIO",1,0.282
"NSF DIRECTORATE FOR GEOSCIENCES GEO",8,2.26
"NSF DIRECTORATE FOR MATHEMATICAL PHYSICAL SCIENCES MPS",1,0.282
"NSF OFFICE OF POLAR PROGRAMS POST DOCTORAL RESEARCH FELLOWSHIP",1,0.282
"NSF OFFICE OF THE DIRECTOR OD",1,0.282
"NUCLEO MILENIO INVASAL CHILE S GOVERNMENT PROGRAM INICIATIVA CIENTIFICA MILENIO FROM MINISTERIO DE ECONOMIA FOMENTO Y TURISMO",1,0.282
"NVIDIA CORPORATION",1,0.282
"NWFSC",1,0.282
"OAK BLUFFS COMMUNITY PRESERVATION COMMITTEE",1,0.282
"OAK FOUNDATION",4,1.13
"OBSERVATORIO DEL ESTRECHO FROM THE JUNTA DE ANDALUCIA PERSEUS",1,0.282
"OCEAN CARBON AND BIOGEOCHEMISTRY PROGRAM",1,0.282
"OCEAN PARK CONSERVATION FOUNDATION HONG KONG",1,0.282
"OCEANA",2,0.565
"ODYSSEA A SCIENTIFIC CONSORTIUM EUROPEAN UNION UNDER HORIZON 2020",1,0.282
"OFFICE OF NAVAL RESEARCH",2,0.565
"OFFICE OF RESEARCH AND DEVELOPMENT UNIVERSIDAD AUSTRAL DE CHILE",1,0.282
"OLD DOMINION UNIVERSITY S CENTER FOR COASTAL PHYSICAL OCEANOGRAPHY",1,0.282
"OPEN PARTNERSHIP JOINT PROJECT OF THE JAPAN SOCIETY FOR THE PROMOTION OF SCIENCE JSPS BILATERAL JOINT RESEARCH PROJECT",1,0.282
"OSU OREME",1,0.282
"OTTO SCHMIDT LABORATORY",1,0.282
"PAUL G ALLEN FAMILY FOUNDATION",1,0.282
"PAUL M ANGELL FAMILY FOUNDATION",3,0.847
"PERLAKSANAAN PENYELIDIKAN INISIATIF SEGITIGA KARANG INSTITUT PENYELIDIKAN MARIN BORNEO",1,0.282
"PERSEO PROJECT",2,0.565
"PERSEO PROJECT CANARY ISLAND GOVERNMENT",1,0.282
"PEW CHARITABLE TRUSTS",5,1.412
"PEW ENVIRONMENT GROUP",1,0.282
"POLICY ORIENTED MARINE ENVIRONMENTAL RESEARCH IN THE SOUTHERN EUROPEAN SEAS PERSEUS PROJECTS",1,0.282
"POLISH MINISTRY OF SCIENCE AND HIGHER EDUCATION DIAMOND GRANT",1,0.282
"PORT OF BELLINGHAM",1,0.282
"PORTUGUESE NATIONAL FUNDS FROM OPERATIONAL PROGRAM MAR2020 FEAMP THROUGH PROJECT CLIMA PESCA",1,0.282
"PROGRAMA OPERACIONAL ACORES 2020 WITHIN THE PROJECT AGUAS VIVAZ",1,0.282
"PROJECT BALTCICA EUROPEAN UNION BALTIC SEA REGION PROGRAMME",1,0.282
"PROJECT COMPLETE COMPLETING MANAGEMENT OPTIONS IN THE BALTIC SEA REGION TO REDUCE RISK OF INVASIVE SPECIES INTRODUCTION BY SHIPPING",1,0.282
"PROJECT IKZM ODER III FEDERAL MINISTRY FOR EDUCATION AND RESEARCH",1,0.282
"PROJECT NANOGREEN NATIONAL FUNDS OE THROUGH FCT I P",1,0.282
"PROJECT RADOST",1,0.282
"PROJECT TOWARDS AN INTEGRATED APPROACH TO ENHANCE PREDICTIVE ACCURACY OF JELLYFISH IMPACT ON COASTAL MARINE ECOSYSTEMS JELLYFISHERIES",1,0.282
"PROJEKT DEAL",1,0.282
"PROJEKTTRAGER JULICH PTJ GERMANY",1,0.282
"PROMAR PROJECT CERTIFICA",1,0.282
"PROMETEO SPANISH MICYT",1,0.282
"PROVINCE OF LECCE AND THE REGION APULIA",1,0.282
"PUBLIC SERVICE ENTERPRISE GROUP PSEG",1,0.282
"RAINBOW JEWELS S A PUNTARENAS COSTA RICA",1,0.282
"REGION BRETAGNE",2,0.565
"REGION NOUVELLE AQUITAINE",1,0.282
"RESEARCH CORPORATION OF THE UNIVERSITY OF GUAM RCUOG",1,0.282
"RESEARCH COUNCIL OF ERDF",1,0.282
"RESEARCH COUNCIL OF FINLAND",2,0.565
"RESEARCH COUNCIL OF NORWAY",3,0.847
"RESEARCH COUNCIL OF THE UK",1,0.282
"RESEARCH EXPERIENCES FOR UNDERGRADUATES PROGRAM NSF",1,0.282
"RESEARCH FUND FOR THE DOCTORAL PROGRAM OF HIGHER EDUCATION OF P R CHINA",1,0.282
"RESEARCH GROUP ON MARINE BIOGEOCHEMISTRY AND GLOBAL CHANGE OF THE GENERALITAT DE CATALUNYA",1,0.282
"RESEARCH PROJECT ANA THALLOI DEVELOPMENT OF MANAGEMENT TOOLS FOR MARINE AND FRESH WATER ECOSYSTEMS EUROPEAN REGIONAL DEVELOPMENT FUND UNDER THE OPERATIONAL PROGRAMME COMPETITIVENESS ENTREPRENEURSHIP AND INNOVATION NSRF 2014 2020",1,0.282
"ROYAL DUTCH SHELL",1,0.282
"ROYAL SOCIETY",4,1.13
"ROYAL SOCIETY OF NEW ZEALAND",1,0.282
"RUSSIAN FOUNDATION FOR BASIC RESEARCH RFBR",1,0.282
"RUSSIAN SCIENCE FOUNDATION RSF",1,0.282
"SCIENCE AND TECHNOLOGY COUNCIL OF THE FRENCH EMBASSY IN MEXICO CST",1,0.282
"SCIENCE ENGINEERING RESEARCH BOARD SERB INDIA",1,0.282
"SCIENCE TECHNOLOGY COMMISSION OF SHANGHAI MUNICIPALITY STCSM",1,0.282
"SCIENTIFIC COMMITTEE ON ANTARCTIC RESEARCH SCAR EVOLUTION AND BIODIVERSITY IN THE ANTARCTIC EBA PROGRAMME",1,0.282
"SCIENTIFIC RESEARCH FOUNDATION",1,0.282
"SEA AROUND US",1,0.282
"SEA AROUND US PAUL G ALLEN FAMILY FOUNDATION",1,0.282
"SEA AROUND US PROJECT",1,0.282
"SEATTLE CITY LIGHT",1,0.282
"SECRETARIAT D ETAT CHARGE DE L OUTRE MER",1,0.282
"SHANDONG JOINT FUND FOR MARINE ECOLOGY AND ENVIRONMENTAL SCIENCES",1,0.282
"SHANGHAI EDUCATION COMMISSION FOUNDATION FOR EXCELLENT YOUNG HIGH EDUCATION TEACHER OF CHINA",1,0.282
"SINOP UNIVERSITY SCIENTIFIC RESEARCH PROJECTS COORDINATION UNIT TURKEY",1,0.282
"SIR ALISTER HARDY FOUNDATION FOR OCEAN SCIENCE",1,0.282
"SLOVENIAN RESEARCH AGENCY SLOVENIA",1,0.282
"SOCIAL SCIENCES AND HUMANITIES RESEARCH COUNCIL OF CANADA SSHRC",2,0.565
"SOCIAL SECURITY USA",1,0.282
"SORBONNE UNIVERSIT",1,0.282
"SOUTH AFRICAN MEDICAL RESEARCH COUNCIL",2,0.565
"SPANISH GOVERNMENT",6,1.695
"SPANISH MIC",1,0.282
"SPANISH MINISTERIO DE ECONOMIA Y COMPETITIVIDAD MINECO PLAN NACIONAL I D",1,0.282
"SPANISH MINISTRY OF ECONOMY AND COMPETITIVENESS CONSOLIDER INGENIO",1,0.282
"SPANISH MINISTRY OF ECONOMY AND COMPETITIVENESS FISHJELLY PROJECT",1,0.282
"SPANISH MINISTRY OF ECONOMY AND COMPETITIVENESS THROUGH THE MARIA DE MAEZTU PROGRAMME FOR CENTRES UNITS OF EXCELLENCE IN RD",1,0.282
"SPANISH MINISTRY OF EDUCATION PROGRAMA NACIONAL DE MOVILIDAD DE RECURSOS HUMANOS DE INVESTIGACION",1,0.282
"SPANISH NATIONAL PROGRAM RAMON Y CAJAL",1,0.282
"SPANISH PROGRAMME FOR TALENT AND EMPLOYABILITY IN R I TORRES QUEVEDO",1,0.282
"SPANISH PROJECT FISHJELLY",1,0.282
"STATE EDUCATION MINISTRY",1,0.282
"STATE OF CALIFORNIA",3,0.847
"STOPJELLY PROJECT",2,0.565
"STRATEGIC RESEARCH COUNCIL AT THE ACADEMY OF FINLAND PROJECT WISE",1,0.282
"SWEDISH RESEARCH COUNCIL FORMAS",1,0.282
"TAAF ADMINISTRATION",1,0.282
"TAISHAN SCHOLAR CLIMBING PLAN",1,0.282
"TAIWAN MINISTRY OF SCIENCE AND TECHNOLOGY MOST",1,0.282
"THAILAND RESEARCH FUND TRF",1,0.282
"THE DAVID LUCILE PACKARD FOUNDATION",5,1.412
"THOMAS JEFFERSON FUND MAKE OUR PLANET GREAT AGAIN INITIATIVE",1,0.282
"TIAA CREF AND SOCIAL SECURITYUNITED STATES",1,0.282
"TIAA CREF USA",1,0.282
"TOTAL SA",1,0.282
"TRAINING AND RESEARCH IN ITALIAN LABORATORIES TRIL PROGRAMME",1,0.282
"TU KAISERSLAUTERN GERMANY",1,0.282
"TULA MITACS CANADA",1,0.282
"TURKIYE BILIMSEL VE TEKNOLOJIK ARASTIRMA KURUMU TUBITAK",1,0.282
"UBC CORDULA AND GUNTER PAETZOLD FELLOWSHIP",1,0.282
"UCSC POSTGRADUATE INSTITUTIONAL RELATIONS AND RESEARCH AND INNOVATION DIRECTORATES",1,0.282
"UK DEPARTMENT FOR BUSINESS AND INDUSTRIAL STRATEGY BEIS",1,0.282
"UK RESEARCH INNOVATION UKRI",22,6.215
"UNITED NATIONS ENVIRONMENT PROGRAMME WORLD CONSERVATION MONITORING CENTRE",1,0.282
"UNITED STATES ARMY",2,0.565
"UNITED STATES DEPARTMENT OF DEFENSE",4,1.13
"UNITED STATES NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION NATIONAL MARINE FISHERIES SERVICE NOAA NMFS PACIFIC ISLANDS FISHERIES SCIENCE CENTER",1,0.282
"UNITED STATES NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION NATIONAL MARINE FISHERIES SERVICE NOAA NMFS SOUTHWEST FISHERIES SCIENCE CENTER",1,0.282
"UNIVERSIDAD DE COSTA RICA",1,0.282
"UNIVERSIDAD DEL VALLE",1,0.282
"UNIVERSIDAD JUAREZ AUTONOMA DE TABASCO",1,0.282
"UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO OF THE DIRECCION GENERAL DE ASUNTOS DEL PERSONAL ACADEMICO",1,0.282
"UNIVERSITI MALAYA",1,0.282
"UNIVERSITY OF BARCELONA",1,0.282
"UNIVERSITY OF BRITISH COLUMBIA",4,1.13
"UNIVERSITY OF BRITISH COLUMBIA VANCOUVER",1,0.282
"UNIVERSITY OF CALIFORNIA AT SANTA BARBARA",3,0.847
"UNIVERSITY OF GIRONA",1,0.282
"UNIVERSITY OF KWAZULU NATAL UKZN DURBAN",1,0.282
"UNIVERSITY OF MALTA",1,0.282
"UNIVERSITY OF MELBOURNE",1,0.282
"UNIVERSITY OF SOUTH ALABAMA MARINE SCIENCES GRADUATE FELLOWSHIP",1,0.282
"UNIVERSITY OF SOUTHAMPTON",1,0.282
"UNIVERSITY OF THE WESTERN CAPE",2,0.565
"UNIVERSITY OF WASHINGTON",1,0.282
"US CONGRESS",1,0.282
"US EPA S NATIONAL ESTUARY PROGRAM",1,0.282
"US GLOBEC",1,0.282
"US GLOBEC PAN REGIONAL SYNTHESIS",1,0.282
"US GLOBEC PROGRAM",1,0.282
"US MARITIME ADMINISTRATION THROUGH THE MARITIME ENVIRONMENTAL RESOURCE CENTER MARYLAND USA",1,0.282
"USDA NATIONAL INSTITUTE OF FOOD AND AGRICULTURE HATCH PROJECT",1,0.282
"USGS WHOI COOPERATIVE PROGRAM",1,0.282
"VECTORS VECTORS OF CHANGE IN OCEANS AND SEAS MARINE LIFE IMPACT ON ECONOMIC SECTORS",1,0.282
"W M KECK FOUNDATION",1,0.282
"WASHINGTON DEPARTMENT OF ECOLOGY S INTENSIVELY MONITORED WATERSHEDS PROGRAM",1,0.282
"WASHINGTON DEPARTMENT OF FISH AND WILDLIFE WDFW",1,0.282
"WASHINGTON DEPARTMENT OF NATURAL RE SOURCES",1,0.282
"WASHINGTON STATE DEPARTMENT OF NATURAL RESOURCES",1,0.282
"WEALTH FROM OCEANS FLAGSHIP",1,0.282
"WHALE HABITAT PROFESSORSHIP ENDOWMENT FUND MARINE MAMMAL INSTITUTE OREGON STATE UNIVERSITY",1,0.282
"WOODS HOLE OCEANOGRAPHIC INSTITUTION S OCEAN TWILIGHT ZONE PROJECT",1,0.282
"WOODS HOLE OCEANOGRAPHIC INSTITUTION S OCEAN VENTURES FUND",1,0.282
"WORLD WIDE FUND WWF SA STELLENBOSCH",1,0.282
"WORLD WILDLIFE FOUNDATION EDUCATION FOR NATURE",1,0.282
"WORLD WILDLIFE FUND EDUCATION FOR NATURE",1,0.282
"WWF IN THE NETHERLANDS",1,0.282
"WWF UK",1,0.282
"YANTAI SCIENCE AND TECHNOLOGY BUREAU",1,0.282
"YOUTH INNOVATION PROMOTION ASSOCIATION CAS",1,0.282
"YUCATAN STATE GOVERNMENT",1,0.282
"ZONE ATELIER ANTARCTIQUE CNRS",1,0.282
"ZOOLOGICAL SURVEY OF INDIA KOLKATA",1,0.282
"86 record(s) (24.294%) do not contain data in the field being analyzed",NA,NA
