Authors,Record Count,% of 354
Roos D,1,0.282
Ropa N,1,0.282
Ropert-coudert Y,1,0.282
Roques C,1,0.282
Rosa S,2,0.565
Rosati AM,1,0.282
Rose KA,1,0.282
Rosenberg AA,1,0.282
Rossberg AG,1,0.282
Rossi S,1,0.282
Rostad A,1,0.282
Rothschild BJ,1,0.282
Rousseau Y,1,0.282
Roux JP,2,0.565
Rowe CE,1,0.282
Ruiz GM,1,0.282
Ruiz J,1,0.282
Rujel J,1,0.282
Rundle-thiele SR,1,0.282
Russe DJF,1,0.282
Rutkowski T,1,0.282
Ruzicka J,1,0.282
Ruzicka JJ,6,1.695
Ramírez-llodra E,1,0.282
Rellán AG,1,0.282
Renán X,1,0.282
Saba GK,1,0.282
Saebi M,1,0.282
Sakornwimon W,1,0.282
Salazar CM,1,0.282
Saleh E,1,0.282
Salihoglu B,2,0.565
Salisbury J,1,0.282
Samal RN,1,0.282
Samhouri JF,2,0.565
Sanjinez M,1,0.282
Santos MB,1,0.282
Saralegui-diez P,1,0.282
Saravanan R,1,0.282
Sarmiento JL,1,0.282
Sastre S,1,0.282
Sawusdee A,1,0.282
Sayed AM,1,0.282
Saygu I,1,0.282
Scardi M,1,0.282
Scarrott RG,1,0.282
Scharlemann JPW,1,0.282
Schasfoort FE,1,0.282
Schaub J,1,0.282
Scheidat M,1,0.282
Schernewski G,1,0.282
Schiariti A,5,1.412
Schildhauer M,1,0.282
Schmitt RJ,1,0.282
Schroeder R,1,0.282
Selig ER,1,0.282
Selim MS,1,0.282
Selyutin VV,1,0.282
Serpetti N,1,0.282
Serrano E,1,0.282
Serrat A,1,0.282
Sevilla NPM,1,0.282
Seymour JE,1,0.282
Shannon LJ,2,0.565
Shave MK,1,0.282
Shenashen MA,1,0.282
Shenoy L,1,0.282
Shephard S,1,0.282
Sherman K,5,1.412
Shin YJ,1,0.282
Siddique A,2,0.565
Sigurdsson GM,1,0.282
Sigwart JD,1,0.282
Silva A,1,0.282
Silva C,1,0.282
Silva L,1,0.282
Silva MBMDE,1,0.282
Simon V,1,0.282
Simons SL,1,0.282
Sims DW,1,0.282
Sinerchia M,1,0.282
Singh S,1,0.282
Sinha RK,1,0.282
Siquier GF,1,0.282
Sisriany S,1,0.282
Skatvedt L,1,0.282
Skrypzeck H,1,0.282
Smart T,1,0.282
Smith ADM,3,0.847
Smith AJ,1,0.282
Smith BD,1,0.282
Smith G,1,0.282
Smith M,1,0.282
Smith MD,1,0.282
Smith MJ,1,0.282
So N,1,0.282
Sobrero L,2,0.565
Sobrino I,1,0.282
Solidoro C,1,0.282
Sommer U,2,0.565
Soria-frisch A,1,0.282
Soriano S,1,0.282
Souplet A,1,0.282
Speirs J,1,0.282
Spitz J,2,0.565
Spitz YH,1,0.282
Srichandan S,1,0.282
Srithong N,1,0.282
Staffell I,1,0.282
Steele JH,1,0.282
Steenbeek J,5,1.412
Steinberg DK,1,0.282
Stergiou KI,1,0.282
Stewart BD,1,0.282
Stier AC,1,0.282
Stock CA,3,0.847
Stockin KA,1,0.282
Stoltenberg I,1,0.282
Stone JP,1,0.282
Stoumboudi MT,3,0.847
Stromberg KHP,1,0.282
Suchman CL,1,0.282
Sudatta BP,1,0.282
Suhaana MN,1,0.282
Sullivan JM,1,0.282
Sumaila R,1,0.282
Sumaila UR,2,0.565
Sun B,1,0.282
Sun S,2,0.565
Sun XX,1,0.282
Suprenand PM,1,0.282
Surkov FA,1,0.282
Sutaria D,1,0.282
Sutherland KR,2,0.565
Sutor M,1,0.282
Suzuki KS,1,0.282
Suzuki M,1,0.282
Svavarsson J,1,0.282
Svetashev VI,1,0.282
Swartz W,2,0.565
Sweetman AK,1,0.282
Sy E,1,0.282
Syazwan WM,1,0.282
Szalaj D,1,0.282
Sabatés A,2,0.565
Saint-béat B,1,0.282
Salaün J,1,0.282
Sardà F,2,0.565
Skyttä A,1,0.282
Sobrinho-gonçalves L,1,0.282
Spanò N,1,0.282
Szabó P,1,0.282
Szilágyi A,1,0.282
Sánchez F,3,0.847
Takahashi A,1,0.282
Takeuchi T,3,0.847
Takimoto H,1,0.282
Tam J,2,0.565
Tamburri MN,1,0.282
Tames-espinosa M,1,0.282
Tan KC,1,0.282
Tan SH,1,0.282
Tang CS,1,0.282
Tarkan AS,1,0.282
Tavakolie A,1,0.282
Tavera J,1,0.282
Tay J,1,0.282
Taylor MI,1,0.282
Taylor RH,1,0.282
Tecchio S,4,1.13
Teletchea F,1,0.282
Teletchea S,1,0.282
Tellier F,1,0.282
Templeman MA,2,0.565
Teodosio MA,1,0.282
Terenzini J,2,0.565
Then AYH,1,0.282
Thibault D,1,0.282
Thiebot JB,2,0.565
Thomas AC,1,0.282
Thompson RC,1,0.282
Thorson JT,1,0.282
Thurstan RH,3,0.847
Tian BP,2,0.565
Tilves U,4,1.13
Tinta T,1,0.282
Tiongson AJC,1,0.282
Tirasin EM,1,0.282
Tisen OB,1,0.282
Tittensor DP,2,0.565
Tixier P,1,0.282
Tjizoo BM,1,0.282
Tkaczynski A,1,0.282
Tolimieri N,1,0.282
Tomasini JA,1,0.282
Tomczak MT,1,0.282
Tomlinson B,1,0.282
Torres MA,1,0.282
Torres PA,1,0.282
Trathan PN,1,0.282
Travis JMJ,1,0.282
Tremblay-boyer L,1,0.282
Triana K,1,0.282
Trofimov A,1,0.282
Trueman CN,1,0.282
Tsagarakis K,3,0.847
Tsai FM,1,0.282
Tseng L,1,0.282
Tseng LC,1,0.282
Tsikliras AC,1,0.282
Tsionki I,1,0.282
Tsubono T,1,0.282
Tsui G,2,0.565
Tuen AA,1,0.282
Turvey ST,1,0.282
Tyutyunov YV,1,0.282
Tarí J,1,0.282
Teodósio MA,1,0.282
Uchiyama Y,1,0.282
Utreras V,1,0.282
Utzurrum JA,1,0.282
Uusitalo L,1,0.282
Uyarra MC,1,0.282
Uye S,4,1.13
Uye SI,2,0.565
Vairappan CS,1,0.282
Vakani B,1,0.282
Valls A,1,0.282
Van Bressem MF,1,0.282
Van Damme PA,1,0.282
Van Der Lingen CD,1,0.282
Van Houtan KS,1,0.282
Vanhellemont Q,1,0.282
Vanhove B,1,0.282
Vansteenbrugge L,1,0.282
Varga M,1,0.282
Vasconcellos M,1,0.282
Vasilakopoulos P,1,0.282
Veiga-malta T,1,0.282
Vella A,1,0.282
Vella N,1,0.282
Veltman K,1,0.282
Venturelli P,1,0.282
Verhaegen G,1,0.282
Verones F,1,0.282
Viard F,1,0.282
Vila Y,1,0.282
Vilizzi L,2,0.565
Villasante S,1,0.282
Villegas V,2,0.565
Vingada J,1,0.282
Vinh CT,1,0.282
Vinod K,1,0.282
Vizzini S,2,0.565
Voss R,1,0.282
Vézina AF,1,0.282
Wabnitz CCC,1,0.282
Wahyudi AJ,1,0.282
Wainwright TC,1,0.282
Walker AN,1,0.282
Walters C,2,0.565
Walters CJ,3,0.847
Wambaugh Z,1,0.282
Wambiji N,1,0.282
Wane D,1,0.282
Wang CY,1,0.282
Wang LT,1,0.282
Wang X,1,0.282
Wang XY,2,0.565
Wang YB,1,0.282
Wang YC,1,0.282
Wang YT,1,0.282
Wang ZC,1,0.282
Wang ZJ,1,0.282
Watanabe M,1,0.282
Watermann B,1,0.282
Watson JR,1,0.282
Watson R,5,1.412
Watson RA,3,0.847
Weeber MP,1,0.282
Wehrtmann IS,1,0.282
Weijerman M,1,0.282
Weir CR,1,0.282
Wells RJD,1,0.282
White CR,1,0.282
Whitty TS,1,0.282
Whitworth P,1,0.282
Widmer C,1,0.282
Wilhelmsson D,1,0.282
Wilson B,1,0.282
Wilson R,1,0.282
Wilson SE,1,0.282
Win ZT,2,0.565
Winker H,1,0.282
Wolf-gladrow DA,1,0.282
Woods JS,1,0.282
Woroniak J,1,0.282
Wrange AL,1,0.282
Wright RM,1,0.282
Wu FX,1,0.282
Wu HP,2,0.565
Wu QW,1,0.282
Xian WW,2,0.565
Xie CB,1,0.282
Xie JH,1,0.282
Xu JM,1,0.282
Xu YH,2,0.565
Yamashita Y,6,1.695
Yan JP,1,0.282
Yang L,1,0.282
Yap TK,1,0.282
Ye YM,1,0.282
Yfantis EA,1,0.282
Ying C,1,0.282
Ying W,1,0.282
Yoon YH,1,0.282
Yoshimura E,1,0.282
Yoskowitz D,1,0.282
Ytreberg E,1,0.282
Yu H,1,0.282
Yu N,1,0.282
Yu XY,1,0.282
Yuan W,1,0.282
Zabin CJ,1,0.282
Zagami G,1,0.282
Zagorodnyaya YA,1,0.282
Zamon JE,1,0.282
Zanzi A,1,0.282
Zayed A,1,0.282
Zeller D,4,1.13
Zen FB,1,0.282
Zeng QH,1,0.282
Zervoudaki S,1,0.282
Zhai L,1,0.282
Zhang F,1,0.282
Zhang PF,1,0.282
Zhang SS,1,0.282
Zhang ZX,1,0.282
Zheng S,1,0.282
Zhong X,1,0.282
Zhou B,1,0.282
Zhou SJ,2,0.565
Zhou YT,1,0.282
Zhuang ZM,1,0.282
Zmijewska MI,1,0.282
Zylich K,1,0.282
Ñiquen M,1,0.282
